tile_name,row,col,xmin,xmax,ymin,ymax,n_points,tilt_corrected,distorted,distortion_model,trapezoid_top_width_scale,trapezoid_bottom_width_scale,trapezoid_top_shift_x,trapezoid_bottom_shift_x,trapezoid_top_shift_y,trapezoid_bottom_shift_y,translation_x,translation_y,rotation_deg,shear_x,shear_y,scale_x,scale_y,nonlinear_drift
tile_r0_c0_clean.ang,0,0,0.0,200.0,0.0,200.0,63200,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r0_c1_clean.ang,0,1,160.0,360.0,0.0,200.0,36735,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r0_c1_distorted.ang,0,1,160.0,360.0,0.0,200.0,36735,True,True,projective_trapezoid,0.92,1.08,4.0,-4.0,0.0,0.0,5.0,-3.0,1.5,0.02,0.0,1.0,1.0,True
tile_r1_c0_clean.ang,1,0,0.0,200.0,160.0,360.0,63200,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r1_c0_distorted.ang,1,0,0.0,200.0,160.0,360.0,63200,True,True,projective_trapezoid,0.92,1.08,4.0,-4.0,0.0,0.0,5.0,-3.0,1.5,0.02,0.0,1.0,1.0,True
tile_r1_c1_clean.ang,1,1,160.0,360.0,160.0,360.0,36735,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r2_c0_clean.ang,2,0,0.0,200.0,320.0,520.0,63200,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r2_c1_clean.ang,2,1,160.0,360.0,320.0,520.0,36735,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r2_c1_distorted.ang,2,1,160.0,360.0,320.0,520.0,36735,True,True,projective_trapezoid,0.92,1.08,4.0,-4.0,0.0,0.0,5.0,-3.0,1.5,0.02,0.0,1.0,1.0,True
tile_r3_c0_clean.ang,3,0,0.0,200.0,480.0,680.0,63200,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r3_c0_distorted.ang,3,0,0.0,200.0,480.0,680.0,63200,True,True,projective_trapezoid,0.92,1.08,4.0,-4.0,0.0,0.0,5.0,-3.0,1.5,0.02,0.0,1.0,1.0,True
tile_r3_c1_clean.ang,3,1,160.0,360.0,480.0,680.0,36735,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r4_c0_clean.ang,4,0,0.0,200.0,640.0,840.0,53200,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r4_c1_clean.ang,4,1,160.0,360.0,640.0,840.0,30923,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r4_c1_distorted.ang,4,1,160.0,360.0,640.0,840.0,30923,True,True,projective_trapezoid,0.92,1.08,4.0,-4.0,0.0,0.0,5.0,-3.0,1.5,0.02,0.0,1.0,1.0,True
tile_r5_c0_clean.ang,5,0,0.0,200.0,800.0,1000.0,2800,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tile_r5_c0_distorted.ang,5,0,0.0,200.0,800.0,1000.0,2800,True,True,projective_trapezoid,0.92,1.08,4.0,-4.0,0.0,0.0,5.0,-3.0,1.5,0.02,0.0,1.0,1.0,True
tile_r5_c1_clean.ang,5,1,160.0,360.0,800.0,1000.0,1628,True,False,none,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
