pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected,accepted,self_supervised_split
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,-1,-1,159,0.5021153420633228,0.39884034703356114,1.0,53.31670275700921,55.502313171758324,3042,zero,0.3560127705234972,0,6.485236098733528e-11,0.12460446972537804,False,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,0,-1,160,0.6108825630261067,0.4439072498642804,1.0,53.163345439641844,55.47938946279182,3120,zero,0.4158499721786718,0,5.65923656685278e-09,0.1455474939410389,False,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,1,-1,161,0.5289196646056346,0.44435105518934753,1.0,50.4684687095821,55.1688025866839,3042,zero,0.37241177037221773,0,3.8683224149726096e-10,0.13034411988171715,False,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,-1,0,159,0.6101961244363486,0.46500655736795216,1.0,53.20916189452313,55.3119420635608,3081,zero,0.41877201650510976,0,5.490689074414544e-09,0.14657020934573628,False,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,0,0,160,1.0000000000000002,1.0,1.0,53.20990825466302,55.53611853801313,3160,zero,0.6504523471434916,0,0.010564467340994543,0.2345252252718685,True,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,1,0,161,0.6101961244363486,0.46500655736795216,1.0,52.68810247374098,55.274606589910434,3081,zero,0.41880246246879593,0,6.375230669787054e-09,0.1465808660079785,False,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,-1,1,159,0.5289196646056346,0.44435105518934753,1.0,49.71611092912811,55.30490160966427,3042,zero,0.372474606856079,0,4.744859243638603e-10,0.1303661127080435,False,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,0,1,160,0.6108825630261067,0.4439072498642804,1.0,53.15539433273085,55.4502533143169,3120,zero,0.4158504246103888,0,5.682311837544503e-09,0.14554765230713876,False,False,validation
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,1,1,161,0.5021153420633228,0.39884034703356114,1.0,52.96445999843637,55.62679759200049,3042,zero,0.35603286249505295,0,7.10718702203175e-11,0.12461150191946524,False,False,validation
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,-1,-1,62,-1,0.5452273007277195,0.4468917353192456,1.0,53.511354677326025,54.88154254913673,2985,zero,0.37829893502771594,0,3.003259075510931e-10,0.1324046274549124,False,False,train
