tile_name,origin_y_px,origin_x_px,row,col
tile_r0_c0_clean.ang,0,0,0,0
tile_r0_c1_clean.ang,0,160,0,1
tile_r0_c2_clean.ang,0,320,0,2
tile_r0_c3_clean.ang,0,480,0,3
tile_r0_c4_clean.ang,0,640,0,4
tile_r0_c5_clean.ang,0,800,0,5
tile_r1_c0_clean.ang,63,0,1,0
tile_r1_c1_clean.ang,63,160,1,1
tile_r1_c2_clean.ang,63,320,1,2
tile_r1_c3_clean.ang,63,480,1,3
tile_r1_c4_clean.ang,63,640,1,4
tile_r1_c5_clean.ang,63,800,1,5
tile_r2_c0_clean.ang,126,0,2,0
tile_r2_c1_clean.ang,126,160,2,1
tile_r2_c2_clean.ang,126,320,2,2
tile_r2_c3_clean.ang,126,480,2,3
tile_r2_c4_clean.ang,126,640,2,4
tile_r2_c5_clean.ang,126,800,2,5
tile_r3_c0_clean.ang,189,0,3,0
tile_r3_c1_clean.ang,189,160,3,1
tile_r3_c2_clean.ang,189,320,3,2
tile_r3_c3_clean.ang,189,480,3,3
tile_r3_c4_clean.ang,189,640,3,4
tile_r3_c5_clean.ang,189,800,3,5
tile_r4_c0_clean.ang,252,0,4,0
tile_r4_c1_clean.ang,252,160,4,1
tile_r4_c2_clean.ang,252,320,4,2
tile_r4_c3_clean.ang,252,480,4,3
tile_r4_c4_clean.ang,252,640,4,4
tile_r4_c5_clean.ang,252,800,4,5
tile_r5_c0_clean.ang,315,0,5,0
tile_r5_c1_clean.ang,315,160,5,1
tile_r5_c2_clean.ang,315,320,5,2
tile_r5_c3_clean.ang,315,480,5,3
tile_r5_c4_clean.ang,315,640,5,4
tile_r5_c5_clean.ang,315,800,5,5
tile_r6_c0_clean.ang,378,0,6,0
tile_r6_c1_clean.ang,378,160,6,1
tile_r6_c2_clean.ang,378,320,6,2
tile_r6_c3_clean.ang,378,480,6,3
tile_r6_c4_clean.ang,378,640,6,4
tile_r6_c5_clean.ang,378,800,6,5
tile_r7_c0_clean.ang,441,0,7,0
tile_r7_c1_clean.ang,441,160,7,1
tile_r7_c2_clean.ang,441,320,7,2
tile_r7_c3_clean.ang,441,480,7,3
tile_r7_c4_clean.ang,441,640,7,4
tile_r7_c5_clean.ang,441,800,7,5
tile_r8_c0_clean.ang,504,0,8,0
tile_r8_c1_clean.ang,504,160,8,1
tile_r8_c2_clean.ang,504,320,8,2
tile_r8_c3_clean.ang,504,480,8,3
tile_r8_c4_clean.ang,504,640,8,4
tile_r8_c5_clean.ang,504,800,8,5
tile_r9_c0_clean.ang,567,0,9,0
tile_r9_c1_clean.ang,567,160,9,1
tile_r9_c2_clean.ang,567,320,9,2
tile_r9_c3_clean.ang,567,480,9,3
tile_r9_c4_clean.ang,567,640,9,4
tile_r9_c5_clean.ang,567,800,9,5
tile_r10_c0_clean.ang,630,0,10,0
tile_r10_c1_clean.ang,630,160,10,1
tile_r10_c2_clean.ang,630,320,10,2
tile_r10_c3_clean.ang,630,480,10,3
tile_r10_c4_clean.ang,630,640,10,4
tile_r10_c5_clean.ang,630,800,10,5
tile_r11_c0_clean.ang,693,0,11,0
tile_r11_c1_clean.ang,693,160,11,1
tile_r11_c2_clean.ang,693,320,11,2
tile_r11_c3_clean.ang,693,480,11,3
tile_r11_c4_clean.ang,693,640,11,4
tile_r11_c5_clean.ang,693,800,11,5
tile_r12_c0_clean.ang,756,0,12,0
tile_r12_c1_clean.ang,756,160,12,1
tile_r12_c2_clean.ang,756,320,12,2
tile_r12_c3_clean.ang,756,480,12,3
tile_r12_c4_clean.ang,756,640,12,4
tile_r12_c5_clean.ang,756,800,12,5
